run,label,iter,agent,prediction,naive_prediction
0,7,1,agent_0,1,1
0,7,1,agent_1,1,1
0,7,1,agent_2,1,1
0,7,1,agent_3,1,1
0,7,1,agent_4,1,1
0,7,1,agent_5,1,1
0,7,1,agent_6,1,1
0,7,1,agent_7,1,1
0,7,1,agent_8,1,1
0,7,1,agent_9,1,1
0,7,2,agent_0,1,1
0,7,2,agent_1,7,1
0,7,2,agent_2,1,1
0,7,2,agent_3,7,1
0,7,2,agent_4,7,1
0,7,2,agent_5,1,1
0,7,2,agent_6,7,1
0,7,2,agent_7,7,1
0,7,2,agent_8,1,1
0,7,2,agent_9,7,7
0,7,3,agent_0,1,1
0,7,3,agent_1,7,1
0,7,3,agent_2,1,1
0,7,3,agent_3,7,1
0,7,3,agent_4,7,1
0,7,3,agent_5,1,1
0,7,3,agent_6,7,1
0,7,3,agent_7,7,5
0,7,3,agent_8,1,1
0,7,3,agent_9,7,7
0,7,4,agent_0,1,1
0,7,4,agent_1,7,1
0,7,4,agent_2,1,1
0,7,4,agent_3,7,1
0,7,4,agent_4,7,1
0,7,4,agent_5,1,1
0,7,4,agent_6,7,1
0,7,4,agent_7,7,5
0,7,4,agent_8,1,1
0,7,4,agent_9,7,7
0,7,5,agent_0,1,1
0,7,5,agent_1,7,1
0,7,5,agent_2,1,1
0,7,5,agent_3,7,1
0,7,5,agent_4,7,1
0,7,5,agent_5,1,1
0,7,5,agent_6,7,1
0,7,5,agent_7,7,5
0,7,5,agent_8,1,1
0,7,5,agent_9,7,7
0,7,6,agent_0,1,1
0,7,6,agent_1,7,1
0,7,6,agent_2,1,1
0,7,6,agent_3,7,1
0,7,6,agent_4,7,1
0,7,6,agent_5,1,1
0,7,6,agent_6,7,1
0,7,6,agent_7,7,5
0,7,6,agent_8,1,1
0,7,6,agent_9,7,7
0,7,7,agent_0,1,1
0,7,7,agent_1,7,1
0,7,7,agent_2,1,1
0,7,7,agent_3,7,1
0,7,7,agent_4,7,1
0,7,7,agent_5,1,1
0,7,7,agent_6,7,1
0,7,7,agent_7,7,5
0,7,7,agent_8,1,1
0,7,7,agent_9,7,7
0,7,8,agent_0,1,1
0,7,8,agent_1,7,1
0,7,8,agent_2,1,1
0,7,8,agent_3,7,1
0,7,8,agent_4,7,1
0,7,8,agent_5,1,1
0,7,8,agent_6,7,1
0,7,8,agent_7,7,5
0,7,8,agent_8,1,1
0,7,8,agent_9,7,7
0,7,9,agent_0,1,1
0,7,9,agent_1,7,1
0,7,9,agent_2,1,1
0,7,9,agent_3,7,1
0,7,9,agent_4,7,1
0,7,9,agent_5,1,1
0,7,9,agent_6,7,1
0,7,9,agent_7,7,5
0,7,9,agent_8,1,1
0,7,9,agent_9,7,7
0,7,10,agent_0,1,1
0,7,10,agent_1,7,1
0,7,10,agent_2,1,1
0,7,10,agent_3,7,1
0,7,10,agent_4,7,1
0,7,10,agent_5,1,1
0,7,10,agent_6,7,1
0,7,10,agent_7,7,5
0,7,10,agent_8,1,1
0,7,10,agent_9,7,7
0,7,11,agent_0,1,1
0,7,11,agent_1,7,1
0,7,11,agent_2,1,1
0,7,11,agent_3,7,1
0,7,11,agent_4,7,1
0,7,11,agent_5,1,1
0,7,11,agent_6,7,1
0,7,11,agent_7,7,5
0,7,11,agent_8,1,1
0,7,11,agent_9,7,7
0,7,12,agent_0,1,1
0,7,12,agent_1,7,1
0,7,12,agent_2,1,1
0,7,12,agent_3,7,1
0,7,12,agent_4,7,1
0,7,12,agent_5,1,1
0,7,12,agent_6,7,1
0,7,12,agent_7,7,5
0,7,12,agent_8,1,1
0,7,12,agent_9,7,7
0,7,13,agent_0,7,1
0,7,13,agent_1,7,1
0,7,13,agent_2,1,1
0,7,13,agent_3,7,1
0,7,13,agent_4,7,1
0,7,13,agent_5,1,1
0,7,13,agent_6,7,1
0,7,13,agent_7,7,5
0,7,13,agent_8,1,1
0,7,13,agent_9,7,7
0,7,14,agent_0,7,1
0,7,14,agent_1,7,1
0,7,14,agent_2,1,1
0,7,14,agent_3,1,1
0,7,14,agent_4,7,1
0,7,14,agent_5,1,1
0,7,14,agent_6,7,1
0,7,14,agent_7,7,5
0,7,14,agent_8,1,1
0,7,14,agent_9,7,7
0,7,15,agent_0,7,1
0,7,15,agent_1,7,1
0,7,15,agent_2,1,1
0,7,15,agent_3,1,1
0,7,15,agent_4,7,1
0,7,15,agent_5,1,1
0,7,15,agent_6,7,1
0,7,15,agent_7,7,5
0,7,15,agent_8,1,1
0,7,15,agent_9,7,7
0,7,16,agent_0,7,1
0,7,16,agent_1,7,1
0,7,16,agent_2,1,1
0,7,16,agent_3,1,1
0,7,16,agent_4,7,1
0,7,16,agent_5,1,1
0,7,16,agent_6,7,1
0,7,16,agent_7,7,5
0,7,16,agent_8,1,1
0,7,16,agent_9,7,7
0,7,17,agent_0,7,1
0,7,17,agent_1,7,7
0,7,17,agent_2,1,1
0,7,17,agent_3,1,1
0,7,17,agent_4,7,1
0,7,17,agent_5,1,1
0,7,17,agent_6,7,1
0,7,17,agent_7,7,5
0,7,17,agent_8,1,1
0,7,17,agent_9,7,7
0,7,18,agent_0,7,1
0,7,18,agent_1,7,7
0,7,18,agent_2,1,1
0,7,18,agent_3,1,1
0,7,18,agent_4,7,1
0,7,18,agent_5,1,1
0,7,18,agent_6,7,1
0,7,18,agent_7,7,5
0,7,18,agent_8,1,1
0,7,18,agent_9,7,7
0,7,19,agent_0,7,1
0,7,19,agent_1,7,7
0,7,19,agent_2,7,1
0,7,19,agent_3,1,1
0,7,19,agent_4,7,1
0,7,19,agent_5,1,1
0,7,19,agent_6,7,1
0,7,19,agent_7,7,5
0,7,19,agent_8,1,1
0,7,19,agent_9,7,7
0,7,20,agent_0,7,1
0,7,20,agent_1,7,7
0,7,20,agent_2,7,1
0,7,20,agent_3,1,1
0,7,20,agent_4,7,1
0,7,20,agent_5,1,1
0,7,20,agent_6,7,1
0,7,20,agent_7,7,5
0,7,20,agent_8,1,1
0,7,20,agent_9,7,7
0,7,21,agent_0,7,1
0,7,21,agent_1,7,7
0,7,21,agent_2,7,1
0,7,21,agent_3,1,1
0,7,21,agent_4,7,1
0,7,21,agent_5,1,1
0,7,21,agent_6,7,1
0,7,21,agent_7,7,5
0,7,21,agent_8,1,1
0,7,21,agent_9,7,7
0,7,22,agent_0,7,1
0,7,22,agent_1,7,7
