epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc
0,0.078125,0.125,0.5,0.140625,0.3515625,0.125
1,0.4140625,0.09375,0.296875,0.0859375,0.453125,0.1015625
2,0.484375,0.1015625,0.25,0.0546875,0.4921875,0.109375
3,0.6640625,0.0546875,0.3125,0.1015625,0.4921875,0.1171875
4,0.7734375,0.140625,0.3046875,0.109375,0.5703125,0.109375
5,0.890625,0.171875,0.1640625,0.1171875,0.75,0.078125
6,0.9765625,0.0859375,0.0859375,0.109375,0.953125,0.1171875
7,1.0,0.125,0.046875,0.125,1.0,0.0625
8,1.0,0.1015625,0.0234375,0.0859375,1.0,0.109375
9,1.0,0.109375,0.0,0.125,1.0,0.0546875
10,1.0,0.09375,0.0078125,0.1328125,1.0,0.125
11,0.9921875,0.1171875,0.0,0.09375,1.0,0.09375
12,1.0,0.125,0.046875,0.140625,1.0,0.0859375
13,1.0,0.0859375,0.375,0.0859375,0.7109375,0.125
14,0.9375,0.171875,1.0,0.125,0.0,0.0625
15,0.8203125,0.109375,1.0,0.0859375,0.0,0.0859375
16,0.8671875,0.109375,1.0,0.0859375,0.0,0.109375
17,0.84375,0.203125,1.0,0.0859375,0.15625,0.1171875
18,0.9140625,0.109375,1.0,0.09375,0.7890625,0.0859375
19,0.8203125,0.1328125,1.0,0.125,0.9921875,0.0859375
20,0.8515625,0.1640625,1.0,0.09375,1.0,0.1015625
21,0.84375,0.1640625,1.0,0.140625,1.0,0.1015625
22,0.9140625,0.1796875,1.0,0.140625,0.9921875,0.09375
23,0.8984375,0.171875,1.0,0.078125,1.0,0.1328125
24,0.96875,0.1640625,1.0,0.09375,0.8515625,0.1328125
25,0.9609375,0.125,1.0,0.125,1.0,0.09375
26,0.9296875,0.171875,1.0,0.0703125,1.0,0.0859375
27,0.8828125,0.1640625,1.0,0.0859375,1.0,0.09375
28,0.9765625,0.1484375,1.0,0.109375,1.0,0.078125
29,0.96875,0.171875,1.0,0.078125,1.0,0.1484375
30,0.9921875,0.171875,1.0,0.1171875,1.0,0.1015625
31,0.9921875,0.2109375,1.0,0.0546875,1.0,0.09375
32,1.0,0.1328125,1.0,0.109375,1.0,0.0859375
33,0.9921875,0.1484375,1.0,0.109375,1.0,0.1328125
34,1.0,0.1796875,1.0,0.1015625,0.984375,0.1484375
35,1.0,0.0859375,1.0,0.1484375,0.984375,0.125
