epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
0,0.40625,0.03125,0.5,0.046875,0.671875,0.125,0.09375
1,0.734375,0.09375,0.5,0.078125,0.6875,0.109375,0.203125
2,0.875,0.078125,0.4375,0.140625,0.625,0.109375,0.125
3,0.859375,0.140625,0.484375,0.09375,0.703125,0.046875,0.15625
4,1.0,0.125,0.421875,0.203125,0.78125,0.0625,0.125
5,0.984375,0.140625,0.390625,0.078125,0.875,0.09375,0.125
6,1.0,0.1875,0.453125,0.109375,0.796875,0.09375,0.21875
7,1.0,0.078125,0.453125,0.109375,0.84375,0.140625,0.109375
8,1.0,0.203125,0.453125,0.125,0.9375,0.15625,0.125
9,1.0,0.109375,0.28125,0.0625,0.921875,0.171875,0.140625
10,1.0,0.171875,0.328125,0.125,0.953125,0.09375,0.171875
11,1.0,0.140625,0.359375,0.078125,0.921875,0.125,0.1875
12,1.0,0.03125,0.34375,0.046875,1.0,0.140625,0.171875
13,1.0,0.140625,0.28125,0.125,0.96875,0.078125,0.15625
14,1.0,0.1875,0.46875,0.09375,1.0,0.125,0.109375
15,1.0,0.21875,0.34375,0.078125,1.0,0.09375,0.1875
16,1.0,0.203125,0.328125,0.109375,1.0,0.140625,0.203125
17,1.0,0.078125,0.28125,0.046875,0.984375,0.09375,0.125
18,1.0,0.109375,0.390625,0.0625,1.0,0.0625,0.203125
19,1.0,0.125,0.359375,0.09375,1.0,0.0625,0.15625
20,1.0,0.15625,0.34375,0.0625,1.0,0.078125,0.21875
21,1.0,0.25,0.3125,0.03125,1.0,0.109375,0.140625
22,1.0,0.1875,0.453125,0.09375,1.0,0.109375,0.125
23,1.0,0.21875,0.5,0.09375,1.0,0.1875,0.125
24,1.0,0.125,0.578125,0.09375,1.0,0.109375,0.0625
25,1.0,0.1875,0.46875,0.09375,1.0,0.0625,0.15625
26,1.0,0.125,0.4375,0.140625,1.0,0.125,0.109375
27,1.0,0.0625,0.5625,0.078125,1.0,0.078125,0.171875
