epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
0,1.0,0.234375,0.734375,0.140625,0.15625,0.0625,0.0625
1,1.0,0.21875,0.640625,0.0625,0.109375,0.109375,0.09375
2,1.0,0.125,0.890625,0.078125,0.03125,0.125,0.1875
3,1.0,0.15625,0.96875,0.0625,0.015625,0.078125,0.0625
4,1.0,0.203125,0.96875,0.0625,0.0,0.109375,0.140625
5,1.0,0.265625,1.0,0.09375,0.0,0.125,0.15625
6,1.0,0.28125,1.0,0.1875,0.0,0.046875,0.0625
7,1.0,0.1875,1.0,0.09375,0.0,0.078125,0.140625
8,1.0,0.171875,1.0,0.09375,0.0,0.109375,0.109375
9,1.0,0.375,1.0,0.109375,0.0,0.140625,0.109375
10,1.0,0.375,1.0,0.015625,0.0,0.109375,0.0625
11,1.0,0.359375,1.0,0.171875,0.0,0.15625,0.0625
12,1.0,0.28125,1.0,0.09375,0.0,0.046875,0.0625
13,1.0,0.359375,1.0,0.109375,0.0,0.15625,0.109375
14,1.0,0.234375,1.0,0.140625,0.0,0.03125,0.109375
15,1.0,0.28125,1.0,0.078125,0.0,0.109375,0.1875
16,0.984375,0.28125,1.0,0.109375,0.0,0.0625,0.078125
17,1.0,0.453125,1.0,0.078125,0.0,0.125,0.09375
18,1.0,0.484375,1.0,0.140625,0.0,0.078125,0.109375
19,0.953125,0.53125,1.0,0.09375,0.0,0.15625,0.09375
20,1.0,0.546875,1.0,0.1875,0.0,0.046875,0.203125
21,0.984375,0.5,1.0,0.0625,0.0,0.109375,0.078125
22,1.0,0.59375,1.0,0.125,0.0,0.140625,0.125
23,0.96875,0.515625,1.0,0.046875,0.0,0.109375,0.046875
24,0.984375,0.484375,1.0,0.09375,0.0,0.109375,0.03125
25,0.984375,0.4375,1.0,0.0625,0.0,0.03125,0.078125
26,0.984375,0.59375,1.0,0.125,0.0,0.109375,0.15625
27,0.984375,0.515625,1.0,0.125,0.0,0.0625,0.09375
28,1.0,0.640625,1.0,0.15625,0.0,0.140625,0.15625
29,1.0,0.59375,1.0,0.1875,0.0,0.015625,0.1875
30,0.984375,0.546875,1.0,0.09375,0.0,0.15625,0.109375
31,1.0,0.546875,1.0,0.109375,0.0,0.140625,0.109375
32,1.0,0.609375,1.0,0.140625,0.0,0.078125,0.125
33,1.0,0.546875,1.0,0.09375,0.0,0.140625,0.109375
34,0.984375,0.640625,1.0,0.078125,0.0,0.15625,0.078125
35,1.0,0.546875,1.0,0.15625,0.0,0.109375,0.1875
36,1.0,0.578125,1.0,0.171875,0.0,0.0625,0.09375
37,1.0,0.515625,1.0,0.140625,0.0,0.125,0.09375
38,1.0,0.65625,1.0,0.0625,0.0,0.09375,0.125
39,0.984375,0.53125,1.0,0.140625,0.0,0.140625,0.15625
40,1.0,0.71875,1.0,0.140625,0.0,0.09375,0.15625
41,1.0,0.546875,1.0,0.15625,0.0,0.078125,0.109375
42,1.0,0.578125,1.0,0.109375,0.0,0.078125,0.109375
43,1.0,0.734375,1.0,0.109375,0.0,0.09375,0.15625
44,1.0,0.6875,1.0,0.15625,0.0,0.171875,0.078125
45,1.0,0.703125,1.0,0.109375,0.0,0.1875,0.125
46,0.984375,0.6875,1.0,0.109375,0.0,0.09375,0.078125
47,0.96875,0.703125,1.0,0.140625,0.0,0.15625,0.140625
48,1.0,0.5625,1.0,0.109375,0.0,0.125,0.140625
49,0.921875,0.703125,1.0,0.109375,0.0,0.09375,0.0625
50,0.953125,0.765625,0.96875,0.140625,0.0,0.125,0.109375
51,0.953125,0.640625,0.875,0.109375,0.0,0.09375,0.09375
52,0.96875,0.671875,0.765625,0.078125,0.0,0.125,0.09375
53,0.9375,0.640625,0.71875,0.046875,0.0,0.0625,0.078125
54,0.90625,0.640625,0.5,0.09375,0.0,0.140625,0.046875
55,0.8125,0.78125,0.25,0.15625,0.0,0.0625,0.078125
56,0.921875,0.6875,0.25,0.15625,0.015625,0.15625,0.046875
57,0.796875,0.625,0.328125,0.125,0.015625,0.15625,0.15625
58,0.734375,0.734375,0.203125,0.171875,0.0625,0.09375,0.140625
59,0.78125,0.734375,0.1875,0.109375,0.015625,0.09375,0.125
60,0.46875,0.65625,0.09375,0.21875,0.140625,0.109375,0.078125
61,0.6875,0.75,0.203125,0.125,0.140625,0.125,0.109375
62,0.578125,0.671875,0.125,0.234375,0.09375,0.171875,0.125
63,0.515625,0.59375,0.09375,0.125,0.15625,0.125,0.09375
64,0.515625,0.640625,0.1875,0.09375,0.125,0.171875,0.09375
65,0.546875,0.671875,0.15625,0.09375,0.140625,0.15625,0.0625
