epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
0,1.0,0.21875,0.328125,0.1875,0.359375,0.0625,0.109375
1,1.0,0.046875,0.53125,0.078125,0.171875,0.140625,0.09375
2,1.0,0.140625,0.78125,0.09375,0.15625,0.125,0.078125
3,1.0,0.21875,0.828125,0.125,0.0625,0.15625,0.109375
4,1.0,0.21875,0.96875,0.109375,0.015625,0.03125,0.09375
5,1.0,0.234375,0.984375,0.0625,0.0,0.109375,0.171875
6,1.0,0.390625,1.0,0.171875,0.0,0.171875,0.0625
7,1.0,0.359375,1.0,0.125,0.0,0.09375,0.09375
8,1.0,0.296875,1.0,0.1875,0.0,0.140625,0.171875
9,1.0,0.34375,1.0,0.09375,0.0,0.171875,0.125
10,1.0,0.359375,1.0,0.0625,0.0,0.09375,0.078125
11,1.0,0.3125,0.96875,0.109375,0.0,0.078125,0.15625
12,1.0,0.3125,0.96875,0.09375,0.0,0.09375,0.078125
13,1.0,0.5,0.953125,0.140625,0.0,0.09375,0.140625
14,1.0,0.390625,1.0,0.09375,0.0,0.140625,0.109375
15,1.0,0.4375,1.0,0.125,0.0,0.140625,0.109375
16,1.0,0.546875,1.0,0.046875,0.0,0.0625,0.09375
17,0.96875,0.328125,1.0,0.09375,0.0,0.125,0.078125
18,1.0,0.328125,1.0,0.078125,0.0,0.046875,0.09375
19,1.0,0.421875,1.0,0.140625,0.0,0.203125,0.125
20,1.0,0.4375,1.0,0.0625,0.0,0.125,0.078125
21,1.0,0.578125,1.0,0.09375,0.0,0.078125,0.109375
22,0.984375,0.59375,1.0,0.109375,0.0,0.09375,0.125
23,1.0,0.609375,1.0,0.171875,0.0,0.09375,0.109375
24,1.0,0.40625,1.0,0.078125,0.0,0.1875,0.09375
25,0.984375,0.515625,1.0,0.171875,0.0,0.140625,0.15625
26,1.0,0.453125,1.0,0.203125,0.0,0.078125,0.0625
27,1.0,0.4375,1.0,0.046875,0.0,0.15625,0.109375
28,1.0,0.640625,1.0,0.140625,0.0,0.109375,0.140625
29,1.0,0.625,1.0,0.15625,0.0,0.0625,0.171875
30,1.0,0.453125,1.0,0.109375,0.0,0.125,0.09375
31,0.96875,0.65625,1.0,0.15625,0.0,0.0625,0.125
32,1.0,0.59375,1.0,0.046875,0.0,0.09375,0.125
33,1.0,0.59375,1.0,0.140625,0.0,0.109375,0.078125
34,0.953125,0.640625,0.828125,0.09375,0.0,0.125,0.109375
35,1.0,0.640625,0.546875,0.125,0.0,0.140625,0.125
36,0.953125,0.625,0.484375,0.09375,0.0,0.125,0.109375
37,0.921875,0.609375,0.09375,0.09375,0.0625,0.109375,0.171875
38,0.90625,0.609375,0.078125,0.140625,0.0625,0.046875,0.125
39,0.890625,0.578125,0.140625,0.109375,0.046875,0.171875,0.140625
40,0.75,0.75,0.03125,0.140625,0.328125,0.171875,0.234375
41,0.875,0.515625,0.0,0.15625,0.28125,0.109375,0.140625
42,0.640625,0.609375,0.015625,0.125,0.5,0.171875,0.140625
43,0.796875,0.59375,0.0,0.09375,0.71875,0.109375,0.078125
44,0.59375,0.65625,0.0,0.140625,0.765625,0.15625,0.125
45,0.640625,0.703125,0.0,0.1875,0.703125,0.0625,0.15625
46,0.546875,0.59375,0.0,0.0625,0.75,0.078125,0.078125
47,0.640625,0.5625,0.0,0.078125,0.796875,0.171875,0.078125
48,0.59375,0.703125,0.0,0.171875,0.625,0.125,0.171875
49,0.40625,0.765625,0.0,0.140625,0.78125,0.078125,0.0625
50,0.40625,0.609375,0.0,0.109375,0.828125,0.0625,0.125
51,0.546875,0.6875,0.0,0.109375,0.65625,0.140625,0.125
52,0.53125,0.609375,0.0,0.171875,0.515625,0.109375,0.15625
53,0.421875,0.671875,0.03125,0.15625,0.640625,0.09375,0.15625
54,0.4375,0.65625,0.03125,0.125,0.5625,0.125,0.125
55,0.484375,0.71875,0.046875,0.140625,0.421875,0.109375,0.078125
56,0.59375,0.734375,0.078125,0.15625,0.25,0.09375,0.078125
57,0.34375,0.625,0.109375,0.0625,0.234375,0.0625,0.125
58,0.3125,0.75,0.109375,0.125,0.453125,0.09375,0.03125
59,0.546875,0.671875,0.078125,0.140625,0.3125,0.09375,0.046875
