epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
0,0.375,0.125,0.375,0.15625,0.5,0.046875,0.09375
1,0.9375,0.09375,0.34375,0.09375,0.484375,0.09375,0.140625
2,0.984375,0.0625,0.546875,0.0625,0.484375,0.15625,0.078125
3,1.0,0.125,0.53125,0.078125,0.546875,0.171875,0.125
4,1.0,0.1875,0.546875,0.109375,0.515625,0.0625,0.109375
5,1.0,0.0625,0.671875,0.09375,0.484375,0.09375,0.09375
6,1.0,0.203125,0.6875,0.0625,0.5,0.109375,0.078125
7,1.0,0.125,0.828125,0.0625,0.34375,0.0625,0.125
8,1.0,0.109375,0.859375,0.09375,0.140625,0.15625,0.09375
9,1.0,0.09375,0.984375,0.109375,0.046875,0.140625,0.140625
10,1.0,0.25,0.953125,0.078125,0.015625,0.09375,0.125
11,1.0,0.21875,1.0,0.03125,0.0,0.109375,0.046875
12,1.0,0.28125,1.0,0.125,0.0,0.0625,0.15625
13,1.0,0.203125,1.0,0.171875,0.0,0.140625,0.140625
14,1.0,0.140625,1.0,0.0625,0.0,0.125,0.0625
15,1.0,0.421875,1.0,0.171875,0.0,0.109375,0.1875
16,1.0,0.328125,1.0,0.046875,0.0,0.0625,0.109375
17,1.0,0.234375,1.0,0.078125,0.0,0.140625,0.109375
18,1.0,0.375,1.0,0.140625,0.0,0.0625,0.125
19,1.0,0.40625,1.0,0.125,0.0,0.0625,0.140625
20,1.0,0.5,1.0,0.125,0.0,0.171875,0.125
21,1.0,0.328125,1.0,0.125,0.0,0.078125,0.125
22,1.0,0.3125,1.0,0.09375,0.0,0.046875,0.125
23,1.0,0.46875,1.0,0.125,0.0,0.078125,0.15625
24,1.0,0.5,1.0,0.09375,0.0,0.078125,0.109375
25,1.0,0.4375,1.0,0.109375,0.0,0.109375,0.046875
26,0.984375,0.609375,1.0,0.109375,0.0,0.109375,0.078125
27,1.0,0.65625,1.0,0.0625,0.0,0.078125,0.140625
28,1.0,0.484375,1.0,0.125,0.0,0.109375,0.140625
29,1.0,0.453125,1.0,0.140625,0.0,0.109375,0.015625
30,0.96875,0.53125,1.0,0.046875,0.0,0.078125,0.0625
31,1.0,0.59375,1.0,0.09375,0.0,0.203125,0.015625
32,1.0,0.421875,1.0,0.125,0.0,0.109375,0.09375
33,1.0,0.65625,1.0,0.09375,0.0,0.046875,0.078125
34,1.0,0.703125,1.0,0.109375,0.0,0.03125,0.09375
35,1.0,0.546875,1.0,0.046875,0.0,0.203125,0.03125
36,1.0,0.546875,1.0,0.078125,0.0,0.125,0.09375
37,0.984375,0.59375,1.0,0.09375,0.0,0.1875,0.109375
38,1.0,0.53125,1.0,0.125,0.0,0.15625,0.125
39,1.0,0.625,1.0,0.140625,0.0,0.140625,0.140625
40,1.0,0.546875,1.0,0.09375,0.0,0.03125,0.0625
41,1.0,0.703125,1.0,0.15625,0.0,0.078125,0.171875
42,0.96875,0.5625,1.0,0.125,0.0,0.078125,0.09375
43,1.0,0.703125,1.0,0.203125,0.0,0.125,0.046875
44,1.0,0.671875,1.0,0.125,0.0,0.140625,0.15625
45,1.0,0.6875,1.0,0.125,0.0,0.203125,0.09375
46,1.0,0.796875,1.0,0.125,0.0,0.078125,0.125
47,1.0,0.78125,1.0,0.140625,0.0,0.09375,0.125
48,1.0,0.640625,1.0,0.140625,0.0,0.078125,0.046875
49,1.0,0.71875,1.0,0.078125,0.0,0.0625,0.078125
50,1.0,0.78125,1.0,0.078125,0.0,0.125,0.109375
51,1.0,0.6875,1.0,0.09375,0.0,0.078125,0.109375
52,1.0,0.625,1.0,0.0625,0.0,0.03125,0.125
53,1.0,0.75,1.0,0.09375,0.0,0.078125,0.078125
54,0.96875,0.75,1.0,0.125,0.0,0.078125,0.078125
55,1.0,0.75,1.0,0.078125,0.0625,0.078125,0.125
56,1.0,0.765625,1.0,0.09375,0.046875,0.09375,0.0625
57,1.0,0.71875,1.0,0.0625,0.03125,0.03125,0.03125
58,1.0,0.6875,1.0,0.171875,0.03125,0.140625,0.203125
59,1.0,0.734375,1.0,0.109375,0.015625,0.140625,0.09375
60,1.0,0.703125,1.0,0.0625,0.0,0.078125,0.0625
