epoch,d_loss,g_loss,psnr
0,0,0,0.3832893470955302
1,0,0,0.440961584293571
2,0,0,0.4724887696711215
3,0,0,0.47336219521013023
4,0,0,0.5410158927213904
5,0,0,0.550214558696138
6,0,0,0.5808396285230811
7,0,0,0.614372277566309
8,0,0,0.6280906546887131
9,0,0,0.6777457863676717
10,0,0,0.6634377203300407
11,0,0,0.7237992862879024
12,0,0,0.7878277463861623
13,0,0,0.7984723290287775
14,0,0,0.820163995316795
15,0,0,0.836266411618764
16,0,0,0.8510524318518367
17,0,0,0.8873063669863459
18,0,0,0.8947237056768922
19,0,0,0.9556424377887884
20,0,0,1.0037676814893235
21,0,0,1.0271364401341232
22,0,0,1.0333482232327482
23,0,0,1.0797790000224141
24,0,0,1.0930334587774575
25,0,0,1.1548949778491275
26,0,0,1.1855192131941632
27,0,0,1.2902987777404973
28,0,0,1.3074329892922885
29,0,0,1.398980519111708
30,0,0,1.4514130749479406
31,0,0,1.4966319752357535
32,0,0,1.5600670522971574
33,0,0,1.6342751704659897
34,0,0,1.6983505196850721
35,0,0,1.8558103612845849
36,0,0,1.950674258661882
37,0,0,2.015111561080351
38,0,0,2.1020737951922843
39,0,0,2.218633581768406
40,0,0,2.2938806764720305
41,0,0,2.4570734493016886
42,0,0,2.456434012748277
43,0,0,2.567364864250428
44,0,0,2.6321394474627575
45,0,0,2.772333854784143
46,0,0,2.822140545760866
47,0,0,2.905215145213445
48,0,0,2.955149512802986
49,0,0,3.0266757096590284
50,0,0,3.126057353814686
51,0,0,3.3350925769366286
52,0,0,3.2344026053567534
53,0,0,3.379654592481454
54,0,0,3.266586173276705
55,0,0,3.4383647928694945
56,0,0,3.546769796570178
57,0,0,3.5383119186844283
58,0,0,3.4877071375487296
59,0,0,3.6713283882457315
60,0,0,3.7395756834503917
61,0,0,3.7524550774532806
62,0,0,3.839625658553465
63,0,0,3.9121306171072394
64,0,0,4.088949888477147
65,0,0,4.201846656208971
66,0,0,3.863843314685316
67,0,0,4.151530441162791
68,0,0,4.183958143820073
69,0,0,4.22430593568154
70,0,0,4.460723135356266
71,0,0,4.125809416346204
72,0,0,4.419564778416008
73,0,0,4.154538164812527
74,0,0,4.14622393247284
75,0,0,4.493772786888908
76,0,0,4.638554638482843
77,0,0,4.676320446161809
78,0,0,4.175314946837784
79,0,0,4.3707706311055
80,0,0,4.803865761626364
81,0,0,4.4382466541078855
82,0,0,4.464792262859825
83,0,0,4.745743232031227
84,0,0,4.8036541167892635
85,0,0,4.477542940463094
86,0,0,4.931835473739172
87,0,0,4.650775809588655
88,0,0,5.082118530606761
89,0,0,4.80759803837063
90,0,0,4.88833889983109
91,0,0,5.051390442245301
92,0,0,4.816206707593665
93,0,0,5.051821609481126
94,0,0,4.841440201836347
95,0,0,4.734168063147269
96,0,0,5.060043925135819
97,0,0,4.959330095814106
98,0,0,5.390115142213899
99,0,0,5.101419131040541
100,0,0,5.079646630781128
101,0,0,4.720245623166882
102,0,0,4.974219607641438
103,0,0,5.0676756737378135
104,0,0,5.215270837489024
105,0,0,5.417219213280728
106,0,0,5.37572514521119
107,0,0,5.601818532800609
108,0,0,4.910545114613693
109,0,0,5.536376255647548
110,0,0,4.994998074760658
111,0,0,5.242021779749404
112,0,0,5.308794650429308
113,0,0,5.242823738654662
114,0,0,5.1859491614693685
115,0,0,5.649974610322611
116,0,0,5.2231077314863885
117,0,0,5.359915941474924
118,0,0,5.064261867612084
119,0,0,5.133857995339254
120,0,0,5.492043636006516
121,0,0,5.328990081743497
122,0,0,5.7087883404937765
123,0,0,5.542459589648071
124,0,0,5.229521640919859
125,0,0,5.224432424631535
126,0,0,5.277749434605221
127,0,0,5.290743829891905
128,0,0,5.52272987062871
129,0,0,5.584770400799601
130,0,0,5.847684326438209
131,0,0,5.574717635195015
132,0,0,5.201953260083144
133,0,0,5.280431911784934
134,0,0,5.9878125702855725
135,0,0,5.421857089673674
136,0,0,5.34899244015646
137,0,0,5.550211529494815
138,0,0,5.355307729402443
139,0,0,5.6629478035159355
140,0,0,5.826215145992144
141,0,0,5.444711594193801
142,0,0,5.5335097047490684
143,0,0,5.494904497314765
144,0,0,5.700446832873169
145,0,0,5.537625871338641
146,0,0,5.572127763592524
147,0,0,5.740908030638864
148,0,0,5.6078459956361195
149,0,0,5.796616727019099
150,0,0,5.9729652986023165
151,0,0,5.8791035966273855
152,0,0,5.971527126771086
153,0,0,5.80132972474339
154,0,0,5.855017859477033
155,0,0,5.3827633174618015
156,0,0,5.7964662708512495
157,0,0,5.796595584170942
158,0,0,5.917039988221832
159,0,0,5.491147110176392
160,0,0,6.38469975572008
161,0,0,5.612166147912187
162,0,0,5.562014278232086
163,0,0,6.2553031155779895
164,0,0,6.241586866152005
165,0,0,5.651585462997268
166,0,0,6.060770139628971
167,0,0,6.009821439356902
168,0,0,6.236377872870754
169,0,0,6.0473214608153345
170,0,0,6.039496562644598
171,0,0,5.63766951486917
172,0,0,5.81498690990143
173,0,0,5.703627405222673
174,0,0,5.69701004640752
175,0,0,5.951499637047107
176,0,0,6.343961977630793
177,0,0,6.11404195372392
178,0,0,6.463482490825287
179,0,0,6.305624862880492
180,0,0,5.8899413760266945
181,0,0,6.0991358029266145
182,0,0,6.21754395249162
183,0,0,5.4820538970896955
184,0,0,5.860517165646799
185,0,0,6.255451484172822
186,0,0,6.143971606203966
187,0,0,6.041080701256015
188,0,0,6.284542274603638
189,0,0,5.960629611665922
190,0,0,6.542110763623156
191,0,0,6.01069378747776
192,0,0,5.8108426209029655
193,0,0,5.6168557278944515
194,0,0,5.825499846336582
195,0,0,5.891087446027785
196,0,0,6.179348729805026
197,0,0,6.114387126384116
198,0,0,6.371540285869757
199,0,0,5.88458232643757
200,0,0,6.308047239710781
201,0,0,6.456660124507336
202,0,0,6.459620160317937
203,0,0,6.459482978960999
204,0,0,5.811999583650898
205,0,0,5.911430317651638
206,0,0,6.2183322519399775
207,0,0,5.78110296268295
208,0,0,5.589127179775137
209,0,0,5.873379028288644
210,0,0,6.252475517932439
211,0,0,6.174248136861741
212,0,0,6.045521032142181
213,0,0,6.6353261637839855
214,0,0,6.130593474843683
215,0,0,5.973151184682247
216,0,0,6.823142512783328
217,0,0,6.414865668812605
218,0,0,6.093951577695776
219,0,0,6.59810452391837
