epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
0,0.6875,0.15625,0.15625,0.125,0.9375,0.078125,0.109375
1,1.0,0.140625,0.1875,0.09375,0.96875,0.171875,0.203125
2,1.0,0.125,0.234375,0.078125,0.96875,0.078125,0.078125
3,1.0,0.171875,0.125,0.046875,1.0,0.140625,0.078125
4,1.0,0.140625,0.140625,0.078125,1.0,0.109375,0.078125
5,1.0,0.21875,0.296875,0.125,1.0,0.09375,0.09375
6,1.0,0.125,0.375,0.09375,1.0,0.15625,0.125
7,1.0,0.109375,0.40625,0.078125,1.0,0.09375,0.109375
8,1.0,0.296875,0.4375,0.15625,1.0,0.03125,0.0625
9,1.0,0.109375,0.53125,0.09375,1.0,0.09375,0.109375
10,1.0,0.125,0.734375,0.140625,1.0,0.09375,0.015625
11,1.0,0.125,0.875,0.171875,1.0,0.125,0.046875
12,1.0,0.078125,0.96875,0.15625,1.0,0.09375,0.09375
13,1.0,0.234375,0.953125,0.171875,1.0,0.109375,0.09375
14,1.0,0.15625,0.96875,0.015625,1.0,0.140625,0.125
15,1.0,0.171875,0.984375,0.109375,1.0,0.140625,0.140625
16,1.0,0.4375,1.0,0.109375,1.0,0.15625,0.15625
17,1.0,0.296875,1.0,0.09375,1.0,0.125,0.09375
18,1.0,0.34375,1.0,0.078125,1.0,0.109375,0.171875
19,1.0,0.40625,1.0,0.125,1.0,0.15625,0.140625
20,1.0,0.359375,1.0,0.09375,1.0,0.125,0.1875
21,1.0,0.453125,1.0,0.140625,1.0,0.234375,0.0625
22,1.0,0.34375,1.0,0.09375,1.0,0.1875,0.109375
23,0.984375,0.453125,1.0,0.0625,1.0,0.21875,0.25
24,1.0,0.46875,1.0,0.078125,1.0,0.15625,0.109375
25,1.0,0.4375,1.0,0.125,1.0,0.171875,0.109375
26,0.984375,0.453125,1.0,0.109375,1.0,0.109375,0.09375
