epoch,d_loss,g_loss,psnr,cnn_accuracy
0,0,0,0.4392808749137022,0.125
1,0,0,0.42468833832768277,0.140625
2,0,0,0.41179051631109886,0.21875
3,0,0,0.41005875184594187,0.1875
4,0,0,0.43088192517660395,0.1875
5,0,0,0.4565046239461812,0.234375
6,0,0,0.4967756562722448,0.265625
7,0,0,0.5229144722529913,0.21875
8,0,0,0.5427508185530361,0.28125
9,0,0,0.5447892740091419,0.296875
10,0,0,0.5946152893742233,0.171875
11,0,0,0.6013867915033677,0.25
12,0,0,0.658975967779855,0.203125
13,0,0,0.6881360651518097,0.265625
14,0,0,0.7102863262520225,0.203125
15,0,0,0.6903009814231245,0.21875
16,0,0,0.7758391656918842,0.1875
17,0,0,0.773271766582889,0.296875
18,0,0,0.7824273479778909,0.265625
19,0,0,0.8285449627124488,0.1875
20,0,0,0.8437174166230896,0.25
21,0,0,0.873094755416735,0.21875
22,0,0,0.901816960635095,0.3125
23,0,0,0.9197989771355847,0.21875
24,0,0,0.9597523551364884,0.1875
25,0,0,1.0237076706054864,0.1875
26,0,0,1.0046950757675612,0.28125
27,0,0,1.0525156454003306,0.265625
28,0,0,1.0777019669533225,0.296875
29,0,0,1.0960692801663172,0.171875
30,0,0,1.1639220929977343,0.234375
31,0,0,1.197129326381444,0.25
32,0,0,1.2370941050938924,0.3125
33,0,0,1.2519653380798141,0.203125
34,0,0,1.3340941707117584,0.234375
35,0,0,1.356883118419293,0.3125
36,0,0,1.3775891245908598,0.234375
37,0,0,1.4720224847282353,0.25
38,0,0,1.4700948738551713,0.21875
39,0,0,1.5899654796474694,0.28125
40,0,0,1.6571600666159478,0.265625
41,0,0,1.668994205510261,0.265625
42,0,0,1.7328291692142286,0.25
43,0,0,1.7750287341741344,0.359375
44,0,0,1.873947717668899,0.265625
45,0,0,1.8479238333029648,0.390625
46,0,0,2.008952444994954,0.265625
47,0,0,2.032582348825758,0.25
48,0,0,2.092810440917659,0.21875
49,0,0,2.1189135720687458,0.28125
50,0,0,2.211639415441862,0.3125
51,-1.2786805629730225,0,2.497325819858095,0.234375
52,-3.674506187438965,0,2.595910853330039,0.3125
53,-5.647811412811279,0,2.8289800901535167,0.125
54,-8.121200561523438,0,3.092344767325972,0.296875
55,-11.064647674560547,0,3.1716475266691373,0.3125
56,-14.559048652648926,0,3.2839290437065936,0.328125
57,-20.711345672607422,0,3.4273392095221267,0.21875
58,-19.314672470092773,0,3.6009844572182588,0.265625
59,-29.37508773803711,0,3.822384363210904,0.328125
60,-27.329797744750977,0,3.6548027508252936,0.265625
61,-38.06494140625,18.823932647705078,3.947225780845792,0.3125
62,-25.954967498779297,10.494813919067383,4.18193913549327,0.34375
63,-31.472970962524414,8.285686492919922,4.24979049464748,0.265625
64,-24.152931213378906,7.118984222412109,4.318990624011263,0.28125
65,-29.372861862182617,1.1640958786010742,4.274294981020164,0.25
66,-26.84850311279297,-1.36864173412323,4.309244491600937,0.265625
67,-24.5135498046875,-2.5478692054748535,4.454256402665846,0.328125
68,-27.205171585083008,-5.664511680603027,4.0433628122180725,0.3125
69,-29.33953857421875,-6.016273498535156,4.309759455325341,0.390625
70,-33.726348876953125,-1.1821235418319702,4.826426448525184,0.390625
71,-34.781463623046875,0.03847655653953552,4.272958433534056,0.234375
72,-30.63236427307129,1.184117078781128,4.281654047473642,0.296875
73,-25.647533416748047,3.1442806720733643,4.526013721094271,0.359375
74,-35.09989547729492,8.961764335632324,4.3800314067265225,0.3125
75,-34.31726837158203,14.069666862487793,4.484165858815981,0.359375
76,-37.18390655517578,13.595369338989258,4.2572540332039654,0.296875
77,-29.149980545043945,11.403810501098633,4.54295875178211,0.328125
78,-40.854427337646484,15.389257431030273,4.584381005936167,0.328125
79,-37.656185150146484,22.623014450073242,4.745933929630941,0.4375
80,-44.30455780029297,16.73428726196289,4.689783586529376,0.328125
81,-41.95362854003906,18.45966339111328,4.839734597103784,0.359375
82,-43.445884704589844,21.12078285217285,4.734097995245797,0.40625
83,-39.89533996582031,28.37960433959961,4.948096268873225,0.25
84,-49.62479019165039,23.374629974365234,4.975581210314845,0.546875
85,-46.9915771484375,26.450557708740234,4.932333913396127,0.40625
86,-54.12504196166992,29.365459442138672,4.820907441068912,0.40625
87,-59.257415771484375,30.808502197265625,4.910216349032007,0.390625
88,-67.01473999023438,39.12882995605469,4.948118917047905,0.4375
89,-70.47997283935547,38.798980712890625,4.774321011010471,0.375
90,-66.89457702636719,51.138240814208984,4.928562988455672,0.5
91,-74.47239685058594,45.18699645996094,4.970214592574509,0.484375
92,-71.39596557617188,51.846710205078125,5.292106391191529,0.421875
93,-73.68511199951172,56.08238220214844,4.933238665065652,0.359375
94,-67.97909545898438,59.43415832519531,4.670116973341738,0.359375
95,-63.94063186645508,68.837646484375,4.9326587156938375,0.515625
96,-55.381629943847656,63.67695236206055,4.8336416360423655,0.390625
97,-82.3541259765625,66.84254455566406,4.716406656720854,0.484375
98,-71.24644470214844,69.98345947265625,4.86987663495495,0.4375
99,-78.48745727539062,87.00814819335938,4.6140914026632,0.4375
100,-74.04872131347656,65.86994171142578,4.411710400758945,0.421875
101,-80.16732788085938,83.31742095947266,4.547879430825846,0.46875
102,-53.231239318847656,75.48937225341797,4.324296820911079,0.53125
103,-91.13639831542969,82.52889251708984,4.752067352278547,0.59375
104,-103.57475280761719,86.0123519897461,4.627784578488499,0.515625
105,-103.54876708984375,90.59698486328125,4.024976639451975,0.421875
106,-87.0954360961914,94.30966186523438,3.9878700755629994,0.390625
107,-100.8261489868164,88.56562805175781,4.065208990513259,0.40625
108,-104.50881958007812,97.57969665527344,4.152797802473506,0.515625
109,-128.9277801513672,112.51670837402344,3.700332085121279,0.421875
110,-119.5914077758789,112.94981384277344,4.264400435155503,0.5
111,-148.66436767578125,112.51605224609375,3.877916386546355,0.453125
112,-140.39614868164062,111.43604278564453,3.776983198053995,0.484375
113,-150.20584106445312,126.52227783203125,3.530307846440419,0.453125
114,-163.1427001953125,127.90756225585938,3.2114073466046165,0.46875
115,-117.15440368652344,118.41350555419922,3.4961343931627873,0.40625
116,-149.23788452148438,119.43988037109375,3.3744648254682312,0.4375
117,-124.74478149414062,124.59197235107422,3.387773198103738,0.453125
118,-152.77293395996094,139.527099609375,3.168233961475089,0.484375
119,-154.4950714111328,138.92616271972656,2.6726097427082482,0.40625
120,-201.89498901367188,125.68387603759766,3.0408386204641973,0.59375
121,-161.19915771484375,158.52220153808594,3.211685533344139,0.5
122,-228.0858154296875,170.962890625,3.025786636413433,0.5625
123,-251.88278198242188,175.21873474121094,2.969246865923613,0.46875
124,-217.7479248046875,204.64105224609375,2.739967017361508,0.46875
125,-270.8114013671875,190.29669189453125,1.9835878995676672,0.296875
126,-295.7523193359375,207.9280548095703,2.2656129411912667,0.421875
127,-270.42816162109375,213.0946807861328,1.8453789359568389,0.453125
128,-332.75323486328125,187.10928344726562,2.6149682964422665,0.390625
129,-414.80889892578125,256.6574401855469,1.723063163724163,0.515625
130,-345.4764709472656,229.08460998535156,0.7423151229017126,0.453125
131,-377.7237243652344,256.2337646484375,0.8095784632001277,0.546875
132,-381.7679443359375,297.74658203125,1.6321901380663772,0.5625
133,-547.3353881835938,348.8741455078125,1.1166822978974218,0.515625
134,-532.282470703125,326.6087646484375,1.031828667588722,0.40625
135,-468.11236572265625,370.90997314453125,1.0792861166984722,0.546875
136,-428.64471435546875,348.0234375,0.7322578230120642,0.34375
137,-588.2428588867188,397.21466064453125,1.3034286880251391,0.421875
138,-619.8063354492188,450.4080810546875,2.1571431646989216,0.546875
139,-772.6119384765625,541.9681396484375,1.5112100216157205,0.484375
140,-688.0250854492188,549.4857788085938,0.9115841122576946,0.484375
141,-712.7761840820312,580.7681884765625,0.4206870018795974,0.59375
142,-865.3443603515625,623.1986083984375,-0.13793036152698968,0.359375
143,-999.2236328125,695.4639892578125,0.9254150010361867,0.453125
144,-1230.9755859375,828.4576416015625,-0.06995928778083871,0.40625
145,-1174.8583984375,785.4712524414062,-0.057591184530254656,0.46875
146,-1401.5401611328125,841.6735229492188,-0.5337957659198788,0.421875
147,-1452.5870361328125,926.0390625,-0.5307129431573265,0.328125
148,-1623.03076171875,992.571044921875,0.11070117547990045,0.484375
149,-1416.135009765625,1084.519287109375,0.006428617512830179,0.421875
150,-1806.2711181640625,1087.738525390625,0.684423392746366,0.484375
151,-1755.0126953125,1300.13134765625,1.1839329009852957,0.484375
152,-1353.0797119140625,1248.612060546875,0.8645187954248007,0.53125
153,-1525.108642578125,1290.6512451171875,0.24119517364570744,0.390625
154,-1957.5413818359375,1413.717529296875,0.5579669433633827,0.46875
155,-2458.8828125,1559.168701171875,0.7114150454117358,0.453125
156,-2242.6591796875,1640.305419921875,0.35868298941929005,0.5
157,-2286.986328125,1611.22509765625,2.0292453803691646,0.5625
158,-1663.27294921875,1582.25439453125,0.7574066631468811,0.53125
159,-1850.6536865234375,1645.60693359375,1.1487916426303015,0.53125
160,-2320.962890625,1770.062744140625,1.4346568693491721,0.421875
161,-2199.21923828125,1799.676025390625,1.0509854128120666,0.5
162,-2887.76513671875,1925.5567626953125,0.9453226799169885,0.53125
163,-2920.790771484375,2064.95361328125,1.5273223542615886,0.5625
164,-1306.260009765625,1862.83251953125,0.8299755894851788,0.40625
165,-968.9354248046875,1308.7969970703125,0.8804539179721345,0.421875
166,-2080.70556640625,1754.2362060546875,1.2629569137464922,0.546875
167,-2216.93115234375,1895.903564453125,1.4385226939374474,0.5625
168,-2582.69873046875,2015.794677734375,1.395699776675706,0.453125
169,-2654.9814453125,2056.587890625,1.6503135715281965,0.546875
170,-3012.8369140625,2135.339599609375,1.7871541417752546,0.46875
171,-2283.73193359375,2243.2421875,1.3161420489271438,0.453125
172,-2862.12451171875,2232.059814453125,0.6718576559860955,0.453125
173,-2890.9208984375,2273.37158203125,0.5486875349418242,0.484375
174,-3371.396484375,2381.196044921875,1.1881303238061967,0.421875
175,-2621.092529296875,2440.3779296875,1.3196764502448968,0.4375
176,-1666.806884765625,2270.60693359375,0.5872041184364362,0.453125
177,-1396.94677734375,1791.00146484375,0.6742203551223158,0.46875
178,-2678.89697265625,2299.086181640625,1.2114685686259397,0.453125
179,-2926.7958984375,2463.337158203125,0.8071874343905987,0.5
180,-3559.78515625,2641.83642578125,1.1289095046492394,0.546875
181,-3700.50927734375,2864.63134765625,2.180359481560863,0.515625
182,-3936.753662109375,2956.078369140625,1.3406452716425656,0.421875
183,-3702.660888671875,3253.29833984375,0.8586102541010534,0.484375
184,-4051.99169921875,3337.3955078125,1.5913767925985414,0.515625
185,-3123.043701171875,2961.986328125,0.34990351036828843,0.359375
186,-4179.51171875,3161.68701171875,2.273597272881293,0.4375
187,-3946.4775390625,3371.13232421875,2.427952414760117,0.5
188,-4805.94091796875,3403.28466796875,1.5802112203346073,0.390625
189,-4407.8662109375,3395.208251953125,2.0749663609298126,0.453125
190,-3786.6064453125,3302.41650390625,1.7645417660927663,0.390625
191,-4183.05419921875,3697.7177734375,2.554707436683847,0.515625
192,-4967.10595703125,3404.84521484375,1.6982732076738745,0.46875
193,-4656.7705078125,3598.732177734375,2.3779573762557957,0.515625
194,-3703.14111328125,3554.66748046875,1.0546601972940493,0.28125
195,-4697.935546875,3752.52197265625,1.01849954898482,0.359375
196,-4854.21044921875,3875.52880859375,1.3277673050368224,0.390625
197,-2592.13037109375,3731.92333984375,1.5815839710076764,0.5
198,-5712.11572265625,3960.002197265625,1.201828368015425,0.515625
199,-4381.0986328125,4369.14599609375,1.3940733589525265,0.421875
200,-5299.14453125,4341.40625,0.9967789637693039,0.40625
201,-4499.357421875,4417.4560546875,1.087039658007332,0.5
202,-4952.81201171875,4349.0380859375,2.115069371805571,0.46875
203,-5819.52783203125,4506.169921875,2.571460406549406,0.46875
204,-3902.4677734375,4554.080078125,1.504537639167577,0.453125
205,-5823.9921875,4678.439453125,1.9977767916259714,0.484375
206,-6193.4658203125,4736.26806640625,0.46297214593785724,0.5
207,-1719.6220703125,4192.1484375,1.3008067231108178,0.5
208,-3985.35205078125,4469.6064453125,0.22388596265611144,0.421875
209,-6013.380859375,5111.0009765625,1.2183806222376774,0.46875
210,-6289.77734375,5149.62939453125,0.9179770827571442,0.515625
211,-4686.2587890625,4791.943359375,1.2999396046136604,0.375
212,-6750.28125,5278.9736328125,0.19787646935775213,0.359375
213,-5467.916015625,5331.375,0.3458457128017033,0.4375
214,-5786.9404296875,5366.33203125,0.7674189592455388,0.390625
215,-6742.2021484375,5626.7392578125,1.640812747277187,0.578125
216,-6534.84765625,5547.935546875,1.3840032836146998,0.46875
217,-5439.21533203125,5628.017578125,1.6354508460990456,0.46875
218,-4845.216796875,5756.328125,0.15346774100743749,0.375
219,-7901.5390625,6254.30126953125,1.005377292027435,0.453125
220,1998.61328125,4297.2099609375,0.4181809117840952,0.40625
221,-3322.38671875,5483.0703125,0.9121697801841979,0.5
222,-4681.90673828125,5222.6875,0.43616753775331857,0.453125
223,-7733.22802734375,6078.9580078125,0.673188310763274,0.46875
224,-2097.54833984375,5754.2685546875,-0.26271827475823384,0.4375
225,-4193.42333984375,5654.4970703125,0.5747973656021294,0.40625
226,-7995.68603515625,6087.33984375,0.9744546416579846,0.375
227,-1719.2822265625,5958.8154296875,0.8359871140866825,0.453125
228,-6392.4140625,6468.693359375,0.39481711922574997,0.390625
229,-7546.51806640625,6298.802734375,0.14916251919304058,0.453125
230,-7733.232421875,6278.37841796875,1.1208939375299372,0.328125
231,-8453.66796875,6617.609375,1.4548472833731452,0.453125
232,-7963.412109375,6856.732421875,1.171563577526865,0.4375
233,-8614.7060546875,6745.041015625,1.0364931065106648,0.390625
234,-6244.9814453125,6421.48388671875,0.8938331721184866,0.34375
235,-7314.6259765625,6837.2939453125,0.4897563199124748,0.359375
236,-2418.369140625,6301.70556640625,0.3222294451792611,0.359375
237,2701.1923828125,5679.89306640625,0.31853166873099864,0.453125
238,-7790.35693359375,6562.1748046875,0.1741310956081403,0.40625
239,-3998.8818359375,6694.68994140625,0.5113918167136234,0.453125
240,-7830.53369140625,7490.61328125,0.8911070484838852,0.40625
241,-6139.244140625,6897.3818359375,0.7838744873267574,0.390625
242,-7351.1982421875,7281.70166015625,0.9860008517319218,0.390625
243,-6929.1767578125,7020.017578125,1.1788500649404479,0.4375
244,-8118.28515625,7244.59375,1.2091651694388543,0.5
245,-7783.6513671875,7263.4892578125,1.4249494747424785,0.484375
246,-5312.59375,7405.7744140625,1.4436532495243033,0.453125
247,-8252.626953125,7228.52685546875,1.1418846580612838,0.421875
248,-8142.3671875,8117.5712890625,1.3556984177375706,0.375
249,-1350.0791015625,6352.17138671875,0.5452127520035441,0.40625
250,-7940.5380859375,7303.296875,0.8574079392388072,0.34375
251,-9399.0537109375,8020.138671875,1.4179661415537115,0.421875
252,-8373.591796875,8266.416015625,1.1744142852109556,0.3125
253,-3080.3955078125,7883.744140625,1.8532092775356168,0.546875
254,-8388.9423828125,8243.6884765625,1.3653913924260188,0.484375
255,-8192.44921875,7975.66552734375,0.9335479372370271,0.34375
256,-8850.19140625,8229.5927734375,0.8488701085400814,0.46875
257,-9433.431640625,8827.62890625,0.8085910843908419,0.515625
258,-9923.5546875,8377.927734375,1.0918307081728404,0.34375
259,-9621.912109375,8752.98828125,1.0944703384579848,0.421875
260,-9438.78125,8501.1884765625,1.2041230962357339,0.40625
261,-8339.1201171875,8909.119140625,0.7917010486976552,0.53125
262,-8049.8701171875,8993.373046875,1.4892086144443073,0.453125
263,-4545.869140625,8738.990234375,0.7710354247508264,0.4375
264,-5027.009765625,8364.568359375,0.851779276847693,0.46875
265,-9358.6357421875,9259.341796875,0.7030815749790992,0.390625
266,-10130.734375,8791.62890625,1.3180565098948807,0.46875
267,-8878.091796875,9093.08203125,0.8857754709061694,0.421875
268,-9945.970703125,9174.6376953125,1.5217150048709136,0.390625
269,-8695.328125,9380.7646484375,1.1359323819850917,0.390625
270,-10691.3701171875,9066.607421875,1.6786590574677955,0.421875
271,-4180.26171875,8649.35546875,1.238076479213186,0.265625
272,-9579.791015625,9394.8994140625,0.7992937327096367,0.375
273,-3339.3779296875,9172.34375,1.6848654844401483,0.484375
274,-9603.822265625,9277.716796875,1.8809131990768289,0.40625
275,-6894.4814453125,9112.6318359375,0.7794620331192312,0.4375
276,-7357.734375,8819.544921875,1.651343284446373,0.484375
277,-10558.98828125,9344.859375,1.1767526109213113,0.390625
278,33226.796875,4369.01611328125,1.5286597146022056,0.5
279,-810.39111328125,6413.8447265625,1.6247547651518714,0.390625
280,-9805.720703125,8216.23046875,1.0865432904704766,0.453125
281,-1654.927734375,7961.8916015625,0.9723039882738065,0.4375
282,-10139.947265625,9021.744140625,1.7144852251594378,0.53125
283,-8318.83203125,8861.41015625,1.530974018962485,0.46875
284,-9678.966796875,8515.521484375,1.6549499613798009,0.484375
285,-9174.193359375,9124.955078125,1.7847129198510303,0.390625
286,-9209.0703125,8949.2880859375,1.488629443433505,0.296875
287,-7112.0458984375,8717.47265625,1.4182517613980783,0.390625
288,-7175.3603515625,9013.4052734375,0.8480430515556115,0.484375
289,-7208.3447265625,9394.0888671875,1.0634318724612037,0.46875
290,-7501.28125,8580.27734375,1.3629709027857941,0.390625
291,-9060.7431640625,9195.4638671875,1.467032868961592,0.484375
292,-5755.6767578125,8642.7314453125,1.0773008778546527,0.40625
293,-9355.193359375,9204.072265625,1.6439567173336964,0.5625
294,-8968.984375,8952.3232421875,0.904847906411001,0.390625
295,-2396.10546875,9805.009765625,1.5972610830749858,0.515625
296,-9765.87890625,9040.8662109375,1.8453025249719652,0.53125
297,-7200.0966796875,9491.810546875,1.594123820460501,0.390625
298,-7720.3515625,9164.525390625,1.7109366462495275,0.5
299,-108.2890625,6679.85009765625,1.0567869887242245,0.359375
300,-9358.6484375,9406.9248046875,1.7138756049114563,0.5
301,-8547.3095703125,10244.3974609375,2.2059657979167238,0.390625
302,-9539.52734375,9606.357421875,1.4920567209202988,0.484375
303,-9907.4833984375,9482.4736328125,1.8143906067856796,0.546875
304,-10453.3662109375,9831.908203125,1.4384509531442482,0.4375
305,-11124.755859375,10082.982421875,1.737314712906455,0.5
306,-9461.556640625,9698.828125,1.8375867945752502,0.5
307,-10458.240234375,10653.8203125,1.1182891049636878,0.484375
308,-12865.404296875,10106.6171875,1.4335040582886547,0.5
309,-5842.822265625,9714.865234375,0.7043402424795747,0.34375
310,-10711.0458984375,10694.5087890625,1.7496445628373924,0.390625
311,-7043.3876953125,9990.83984375,2.0362143595390165,0.4375
312,-10833.9697265625,10257.5234375,1.734049970128132,0.421875
313,-8050.412109375,9398.171875,1.657130495102896,0.40625
314,-10001.1591796875,10344.236328125,1.3660603659084358,0.484375
315,-2360.8994140625,8791.763671875,1.7423801706687017,0.515625
316,-7245.4140625,8982.556640625,2.1202267997862196,0.546875
317,-7941.11572265625,9770.5078125,1.0003260174783255,0.421875
318,-2988.57421875,8671.8603515625,1.5727954441034473,0.546875
319,2726.302734375,7681.04296875,1.4825251286691015,0.546875
320,-7824.921875,9149.134765625,2.038949365935233,0.46875
321,-5624.220703125,8942.580078125,2.667330185237762,0.515625
322,-10147.4384765625,9780.8505859375,2.4941324661005675,0.40625
323,-10240.369140625,9318.1630859375,1.8022297916074987,0.453125
324,-7085.76171875,9618.751953125,1.7569304368280991,0.3125
325,-8902.705078125,10034.796875,1.735093170220969,0.34375
326,-6307.984375,9930.58203125,2.404568850624144,0.515625
327,-7578.1064453125,9793.302734375,2.1538264547883696,0.421875
328,10289.021484375,6501.212890625,1.354327695408162,0.453125
329,-6147.232421875,6402.69921875,1.5769157827097513,0.453125
330,-8153.775390625,8761.623046875,1.5634461917369034,0.5625
331,-11558.5146484375,9252.744140625,1.8165413984147296,0.453125
332,-11501.533203125,9837.5029296875,1.8913219935394299,0.4375
333,-11520.6611328125,9830.509765625,1.6776285620505207,0.421875
334,537.966796875,8035.88525390625,1.9085852782305053,0.421875
335,-5409.5380859375,9444.2783203125,1.2634970604278537,0.40625
336,-10496.841796875,9058.12890625,1.6234698739547238,0.59375
337,-9773.75,10024.345703125,1.9750137108339219,0.328125
338,-4514.7529296875,8939.5830078125,2.4279596587861385,0.5
339,-10602.740234375,9104.541015625,2.265449827973207,0.453125
340,-7248.943359375,9342.2109375,1.7724549368535207,0.484375
341,-5448.2548828125,10524.79296875,2.118155505130488,0.46875
342,-8764.0546875,9716.9375,3.19546797792112,0.5
343,-12557.830078125,10627.294921875,2.6314903169848387,0.453125
344,-7343.58203125,9563.947265625,2.2145126269729394,0.421875
345,-9124.599609375,10732.0224609375,2.016359999682882,0.421875
346,-7484.6416015625,11210.6826171875,1.9326655017339944,0.4375
347,-6794.630859375,8774.7099609375,2.217648267875243,0.453125
348,-9196.4462890625,10790.9296875,1.8006699070092056,0.40625
349,-10552.341796875,10641.90234375,2.482382727409495,0.390625
